,geo,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,image_id,point_id,timestamp
0,,90,518,1394,854,525,678,430,1099,2205,2468,2614,2604,2808,0,0,0,0,0,-9999,-9999,0,4,54,69,44,665,2024-12-01,20241201T102319_20241201T102552_T32UND,8,1733048779436
1,,102,474,1395,854,491,656,412,1091,2207,2472,2618,2611,2797,0,0,0,0,0,-9999,-9999,0,4,50,67,42,668,2024-12-01,20241201T102319_20241201T102552_T32UNE,8,1733048766852
2,,90,371,1260,591,507,791,345,1467,3958,4396,4920,4575,4674,0,0,0,0,0,-9999,-9999,0,4,52,81,36,674,2024-12-01,20241201T102319_20241201T102552_T32UPD,6,1733048776022
3,,108,298,1585,858,462,638,387,1143,2416,2737,3084,3077,3037,0,0,0,1,0,-9999,-9999,0,4,46,65,39,699,2024-12-01,20241201T102319_20241201T102552_T32UPE,1,1733048763032
4,,108,626,1399,761,601,907,575,1390,3010,3220,3344,3319,2926,0,0,0,1,0,-9999,-9999,0,4,62,93,59,1007,2024-12-01,20241201T102319_20241201T102552_T32UPE,3,1733048763032
5,,144,6260,3225,2109,5692,5392,5484,5917,5723,5530,5324,5521,6602,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,1325,2024-12-02,20241202T104421_20241202T104437_T32UNE,2,1733136358084
6,,144,4371,2179,1316,3892,3628,3596,3819,3888,3875,3764,3991,4406,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,1325,2024-12-02,20241202T104421_20241202T104437_T32UNE,9,1733136358084
7,,83,1401,1008,701,1258,1126,955,1124,1504,1617,1712,1664,1043,0,0,0,5,0,-9999,-9999,0,3,128,115,98,746,2024-12-06,20241206T102411_20241206T102422_T32UND,8,1733480779163
8,,82,1437,1016,720,1248,1092,938,1155,1529,1632,1716,1670,1433,0,0,0,5,0,-9999,-9999,0,3,127,111,96,1120,2024-12-06,20241206T102411_20241206T102422_T32UNE,8,1733480766450
9,,66,6117,4110,2993,5184,4880,5124,5773,5770,5667,5524,5783,8545,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,1289,2024-12-06,20241206T102411_20241206T102422_T32UPD,6,1733480775753
10,,60,3481,2931,2309,3196,3010,3066,3626,4045,4120,4152,4182,6455,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,1275,2024-12-06,20241206T102411_20241206T102422_T32UPE,1,1733480761351
11,,60,3492,3405,2794,4496,4244,3736,4125,4536,4568,5692,4595,6684,1,0,0,100,0,-9999,-9999,2048,9,255,255,255,1275,2024-12-06,20241206T102411_20241206T102422_T32UPE,3,1733480761351
12,,72,9790,3961,4166,8464,9288,9584,9342,9530,9593,9840,9683,6994,0,1,0,100,3,-9999,-9999,1024,9,255,255,255,-9999,2024-12-07,20241207T104339_20241207T104336_T32UNE,2,1733568358369
13,,72,7754,2366,2476,7696,7448,7680,7504,7546,7539,8256,7493,4935,0,1,0,65,0,-9999,-9999,1024,8,255,255,255,-9999,2024-12-07,20241207T104339_20241207T104336_T32UNE,9,1733568358369
14,,60,10700,6943,5336,11016,11208,11912,12587,12312,12300,12560,12282,13073,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,813,2024-12-09,20241209T103431_20241209T103431_T32UND,8,1733740576989
15,,60,5531,2137,1566,4852,4344,4236,4426,4352,4280,4400,4189,4660,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,440,2024-12-09,20241209T103431_20241209T103431_T32UNE,0,1733740562638
16,,60,5761,1164,1149,5436,5084,5148,5196,5213,5118,5352,5096,3968,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,440,2024-12-09,20241209T103431_20241209T103431_T32UNE,2,1733740562638
17,,60,8518,4200,4242,8640,8616,9040,9298,9044,9006,9360,8825,9605,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,440,2024-12-09,20241209T103431_20241209T103431_T32UNE,4,1733740562638
18,,60,7146,4725,3820,7320,7056,7140,7605,7371,7274,7688,6896,9417,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,440,2024-12-09,20241209T103431_20241209T103431_T32UNE,5,1733740562638
19,,60,5674,1457,1418,5196,4848,4744,4889,4835,4756,4972,4780,5071,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,440,2024-12-09,20241209T103431_20241209T103431_T32UNE,7,1733740562638
20,,60,10609,6863,5137,10960,11168,11888,12181,12082,12200,12528,12264,8853,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,440,2024-12-09,20241209T103431_20241209T103431_T32UNE,8,1733740562638
21,,60,4120,880,826,3840,3476,3388,3462,3465,3462,3576,3492,2824,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,440,2024-12-09,20241209T103431_20241209T103431_T32UNE,9,1733740562638
22,,60,5940,1699,1135,5456,4880,4564,4662,4494,4454,4508,4213,3665,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,801,2024-12-09,20241209T103431_20241209T103431_T32UPD,6,1733740572487
23,,60,5952,2798,2481,5340,4864,4820,4987,4870,4756,5020,4676,6812,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,601,2024-12-09,20241209T103431_20241209T103431_T32UPE,1,1733740558487
24,,60,5470,1849,1588,5272,4844,4724,4846,4716,4570,4884,4420,5339,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,601,2024-12-09,20241209T103431_20241209T103431_T32UPE,3,1733740558487
25,,60,11167,7378,6194,11456,11512,12272,12840,12789,12611,12864,12612,12848,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,737,2024-12-09,20241209T103501_20241209T103459_T32UND,8,1733740603579
26,,60,5276,1848,1197,5152,4500,4240,4196,4145,3921,4392,3877,4059,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,467,2024-12-09,20241209T103501_20241209T103459_T32UNE,0,1733740589972
27,,60,6863,3401,3906,7160,6752,6640,6863,6919,6858,7496,7054,6958,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,467,2024-12-09,20241209T103501_20241209T103459_T32UNE,2,1733740589972
28,,60,9358,4827,4997,9440,9256,9704,9993,10003,9760,10168,9740,11586,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,467,2024-12-09,20241209T103501_20241209T103459_T32UNE,4,1733740589972
29,,60,6735,3131,2469,6600,6104,5996,6221,6124,5942,6408,5788,8124,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,467,2024-12-09,20241209T103501_20241209T103459_T32UNE,5,1733740589972
30,,60,7183,4642,4039,8056,7456,7504,7730,7625,7330,8480,7076,8345,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,467,2024-12-09,20241209T103501_20241209T103459_T32UNE,7,1733740589972
31,,60,11082,7320,6026,11424,11496,12264,12555,12624,12531,12848,12605,9846,0,1,0,100,0,-9999,-9999,1024,9,255,255,255,467,2024-12-09,20241209T103501_20241209T103459_T32UNE,8,1733740589972
32,,60,3927,774,684,3784,3376,3236,3280,3372,3301,3476,3346,2521,0,1,0,50,0,-9999,-9999,1024,8,255,255,255,467,2024-12-09,20241209T103501_20241209T103459_T32UNE,9,1733740589972
